department,product_category,total_sales_value,total_baskets,unique_households,unique_products
MEAT,EXOTIC GAME/FOWL,860.4200000000001,122,91,11
NUTRITION,SOUP,857.87,196,88,101
NUTRITION,PACKAGED NATURAL SNACKS,843.1,212,122,35
PRODUCE,SEASONAL,834.47,126,120,14
MEAT,LAMB,829.27,109,39,38
DRUG GM,FALL AND WINTER SEASONAL,749.47,87,71,48
GROCERY,BIRD SEED,726.73,162,69,26
DRUG GM,HOME FURNISHINGS,692.18,40,37,25
DRUG GM,PROPANE,673.68,32,28,3
DRUG GM,GLASSES/VISION AIDS,665.68,80,64,59
COUPON,COUPONS/STORE & MFG,652.51,410,263,26
DRUG GM,ETHNIC PERSONAL CARE,644.49,166,94,100
PASTRY,BAKERY PARTY TRAYS,613.87,82,69,34
NUTRITION,BEVERAGE,596.67,173,79,41
DRUG GM,GLASSWARE & DINNERWARE,581.16,91,79,70
RESTAURANT,COFFEE SHOP,571.16,154,46,49
DRUG GM,HOME FREEZING & CANNING SUPPLY,568.99,85,61,41
DELI,DELI SPECIALTIES (RETAIL PK),528.71,189,129,45
PASTRY,DELI SUPPLIES,528.58,175,145,2
DELI,DELI SUPPLIES,471.41,132,115,4
DRUG GM,LONG DISTANCE CALLING CARDS,451.59000000000003,39,21,7
NUTRITION,DRY TEA/COFFEE/COCO MIX,408.98,85,52,49
RESTAURANT,QUICK SERVICE,388.42,69,37,5
NUTRITION,BABYFOOD,363.95,84,22,38
DRUG GM,SHOE CARE,354.83,125,107,94
DRUG GM,CIGARS,354.82,76,45,23
FLORAL,FLORAL-ACCESSORIES,320.99,45,41,9
NUTRITION,NON EDIBLE PRODUCTS,309.43,45,22,26
AUTOMOTIVE,COUPON,301.46,36,33,1
RESTAURANT,COFFEE SHOP SWEET GOODS&RETAIL,301.39,53,30,25
DRUG GM,CONTINUITIES,269.36,63,54,24
NUTRITION,BREAD,231.53,67,56,4
DRUG GM,DOLLAR VALUE PRODUCTS,209.02,99,86,50
DELI,SERVICE BEVERAGE,201.32000000000002,147,65,30
NUTRITION,NATURAL VITAMINS,194.45999999999998,21,17,12
COSMETICS,COUPON/MISC ITEMS,188.22,28,25,1
DRUG GM,SEWING,184.74,86,80,29
MEAT,VEAL,167.13,32,27,12
FLORAL,GIFT & FRUIT BASKETS,159.39,12,11,6
GROCERY,FRZN SEAFOOD,149.76000000000002,29,21,5
SEAFOOD,MEAT SUPPLIES,137.34,19,18,1
DRUG GM,NATURAL HBC,84.08,17,16,14
GROCERY,BOTTLE DEPOSITS,68.9,33,10,7
GM MERCH EXP,COUPON/MISC ITEMS,67.02,39,27,1
DRUG GM,WATCHES/CALCULATORS/LOBBY,66.1,14,13,10
GROCERY,RESTRICTED DIET,64.59,22,17,18
MEAT,MEAT SUPPLIES,57.03,13,8,3
FLORAL,BOUQUET (NON ROSE),53.93,7,7,1
DRUG GM,PHARMACY,50.940000000000005,6,6,5
DRUG GM,HOME HEALTH CARE,49.519999999999996,4,4,4
CNTRL/STORE SUP,COUPON/MISC ITEMS,44.95,15,14,4
DRUG GM,COUPON/MISC ITEMS,44.42,11,9,5
MEAT,MEAT - MISC,39.660000000000004,9,7,2
PRODUCE,DRIED FRUIT,39.39,20,19,9
