department,product_category,total_sales_value,total_baskets,unique_households,unique_products,average_sales_per_basket
DRUG GM,FOOT CARE PRODUCTS,2029.4,290,188,107,6.997931034482759
DRUG GM,INSECTICIDES,1995.24,390,301,97,5.116
DRUG GM,HALLOWEEN,1964.0,310,234,254,6.335483870967742
DRUG GM,DISPOSIBLE FOILWARE,1950.95,532,372,36,3.667199248120301
DRUG GM,SUNTAN,1887.48,229,186,131,8.242270742358079
PRODUCE,SQUASH,1854.53,1180,406,20,1.571635593220339
DRUG GM,AUTOMOTIVE PRODUCTS,1757.69,435,310,129,4.040666666666667
DRUG GM,J-HOOKS,1725.5600000000002,493,343,252,3.5001217038539556
DRUG GM,IRONING AND CHEMICALS,1704.03,218,165,76,7.816651376146789
NUTRITION,PREPARED/PKGD FOODS,1703.8,397,140,149,4.291687657430731
DRUG GM,HOSIERY/SOCKS,1626.53,315,197,189,5.1635873015873015
DRUG GM,EASTER,1576.94,498,348,146,3.166546184738956
COSMETICS,FRAGRANCES,1548.0,73,56,65,21.205479452054796
DRUG GM,SMOKING CESSATIONS,1539.5700000000002,37,19,16,41.61000000000001
DRUG GM,SPORTS MEMORABLILIA,1521.69,126,105,84,12.076904761904762
FLORAL,FLORAL-FOLIAGE PLANTS,1503.29,138,108,64,10.89340579710145
GROCERY,SYRUPS/TOPPINGS,1489.45,584,384,64,2.550428082191781
TRAVEL & LEISURE,APPLES,1417.19,465,308,18,3.047720430107527
DRUG GM,PERSONAL CARE APPLIANCES,1357.32,96,85,53,14.13875
GROCERY,LIQUOR,1354.42,306,199,73,4.426209150326797
SEAFOOD-PCKGD,SEAFOOD - MISC,1346.42,651,392,74,2.0682334869431647
NUTRITION,NON-DAIRY BEVERAGES,1281.31,325,74,61,3.9424923076923077
FLORAL,FLORAL BALLOONS,1219.31,209,165,119,5.8340191387559805
GROCERY,NEW AGE,1109.92,343,187,41,3.235918367346939
FLORAL,FLORAL- HARD GOODS,1043.1,148,112,91,7.047972972972972
DRUG GM,OVERNIGHT PHOTOFINISHING,1029.48,79,51,10,13.031392405063292
DRUG GM,PORTABLE ELECTRIC APPLIANCES,1027.11,68,63,39,15.10455882352941
DRUG GM,VALENTINE,990.2,208,170,140,4.760576923076924
NUTRITION,BAKING,986.39,213,105,57,4.63093896713615
NUTRITION,CONDIMENTS,969.46,230,126,87,4.21504347826087
COSMETICS,COSMETIC ACCESSORIES,960.1,130,105,41,7.385384615384615
DRUG GM,FIREWORKS,900.85,93,84,24,9.686559139784947
MEAT,EXOTIC GAME/FOWL,860.4200000000001,122,91,11,7.052622950819673
NUTRITION,SOUP,857.87,196,88,101,4.37688775510204
NUTRITION,PACKAGED NATURAL SNACKS,843.1,212,122,35,3.9768867924528304
PRODUCE,SEASONAL,834.47,126,120,14,6.622777777777778
MEAT,LAMB,829.27,109,39,38,7.6079816513761465
DRUG GM,FALL AND WINTER SEASONAL,749.47,87,71,48,8.614597701149426
GROCERY,BIRD SEED,726.73,162,69,26,4.485987654320987
DRUG GM,HOME FURNISHINGS,692.18,40,37,25,17.304499999999997
DRUG GM,PROPANE,673.68,32,28,3,21.0525
DRUG GM,GLASSES/VISION AIDS,665.68,80,64,59,8.321
COUPON,COUPONS/STORE & MFG,652.51,410,263,26,1.5914878048780488
DRUG GM,ETHNIC PERSONAL CARE,644.49,166,94,100,3.8824698795180725
PASTRY,BAKERY PARTY TRAYS,613.87,82,69,34,7.486219512195122
NUTRITION,BEVERAGE,596.67,173,79,41,3.448959537572254
DRUG GM,GLASSWARE & DINNERWARE,581.16,91,79,70,6.386373626373626
RESTAURANT,COFFEE SHOP,571.16,154,46,49,3.7088311688311686
DRUG GM,HOME FREEZING & CANNING SUPPLY,568.99,85,61,41,6.694
DELI,DELI SPECIALTIES (RETAIL PK),528.71,189,129,45,2.7974074074074076
PASTRY,DELI SUPPLIES,528.58,175,145,2,3.020457142857143
DELI,DELI SUPPLIES,471.41,132,115,4,3.571287878787879
DRUG GM,LONG DISTANCE CALLING CARDS,451.59000000000003,39,21,7,11.57923076923077
NUTRITION,DRY TEA/COFFEE/COCO MIX,408.98,85,52,49,4.811529411764706
RESTAURANT,QUICK SERVICE,388.42,69,37,5,5.6292753623188405
NUTRITION,BABYFOOD,363.95,84,22,38,4.332738095238095
DRUG GM,SHOE CARE,354.83,125,107,94,2.83864
DRUG GM,CIGARS,354.82,76,45,23,4.668684210526315
FLORAL,FLORAL-ACCESSORIES,320.99,45,41,9,7.133111111111111
NUTRITION,NON EDIBLE PRODUCTS,309.43,45,22,26,6.876222222222222
AUTOMOTIVE,COUPON,301.46,36,33,1,8.373888888888889
RESTAURANT,COFFEE SHOP SWEET GOODS&RETAIL,301.39,53,30,25,5.686603773584905
DRUG GM,CONTINUITIES,269.36,63,54,24,4.275555555555556
NUTRITION,BREAD,231.53,67,56,4,3.455671641791045
DRUG GM,DOLLAR VALUE PRODUCTS,209.02,99,86,50,2.1113131313131315
